Kelas,teks_stemming
Inbis Tohpati,"['webinar', 'digital', 'health', 'bdi', 'denpasar', 'business', 'incubator',  'business', 'talk', 'tema', 'e', 'plore', 'business', 'idea', 'insight', 'in', 'digital', 'health', 'industry', 'hadir', 'narasumber', '', 'nova', 'ariyanto', 'jono', '', 'co', 'founder', 'ceo', 'psikologi', '', 'made', 'dwi', 'putra', 'wijaya', '', 'koordinator', 'bdi', 'denpasar', 'business', 'incubator', 'giat', 'narasumber', 'sharing', 'knowledge', 'inspirasi', 'proses', 'bisnis', '', 'bisnis', 'akhir', 'giat', 'serta', 'bicara', 'giat', 'workshop', 'laksana', 'tanggal', 'jumat', 'februari', '', 'live', 'on', 'zoom', 'meeting']"
Kabar Insan Oke ,"['jalan', 'bulutangkis', 'indonesia', 'piala', 'thomas', 'rebut', 'tim', 'bulutangkis', 'bangga', 'bangsa', 'selamat', 'raih', 'indonesia', 'juara', 'piala', 'thomas']"
Kabar Insan Oke ,"['senin', 'pagi', 'pegawai', 'bdi', 'denpasar',  'apel', 'pagi', 'semangat', 'koordinasi', 'jalan', 'aktivitas', 'tugas', 'minggu', 'depan', 'risi', 'arah', 'arah', 'selesai', 'tugas', 'pek', 'apel', 'rutin', 'serta', 'nyanyi', 'lagu', 'bangsa', 'indonesia', 'raya', 'baca', 'teks', 'pancasila', 'harap', 'tingkat', 'jiwa', 'nasionalisme', 'patriotisme', 'pegawai', 'bdi', 'denpasar', 'pandemi', 'apel', 'pagi', 'laksana', 'online', 'via', 'zoom', 'meeting']"
Kabar Insan Oke ,"['sobat', 'kreatif', 'tunggu', 'buka', 'diklat', 'in', 'animasi', 'padang', 'padang', 'denpasar', 'simak', 'postingan', 'sobat', 'kreatif', 'tarik', 'join', 'daftar', 'link', 'mimin', 'cantumin', 'detail', 'syarat', 'syarat', 'daftar', 'diklat', 'sobat', 'minat', 'jumpa', 'padang', 'padang', 'denpasar', 'sobat', 'kreatif']"
Kabar Insan Oke ,"['sobat', 'kreatif', 'senin', 'kepala', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'buka', 'diklat', 'in', 'buat', 'gerak', 'animasi', 'dimensi', 'angkat', 'i', 'onsite', 'bekerjasama', 'castle', 'production', 'diklat', 'ikut', 'serta', 'tempat', 'jakarta', 'sobat', 'daftar',  'cek', 'jadwal', 'diklat']"
pengumuman,"['sobat', 'kreatif', 'tunggu', 'buka', 'diklat', 'in', 'animasi', 'makassar', 'denpasar', 'simak', 'postingan']"
Agenda,"['sobat', 'kreatif', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'spektrumedia', 'studio', 'kota', 'makassar',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'sembilan', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'februari', 'maret', 'tempat', 'fakultas', 'ilmu', 'komputer', 'fikom', 'universitas', 'muslim', 'indonesia', 'umi', 'kota', 'makassar', 'provinsi', 'sulawesi', 'selatan', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'sunting', 'film', 'animasi', 'editor',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Diklat 3 in 1,"['open', 'recruitment', 'diklat', 'in', 'bdi', 'denpasar', 'makassar', 'sobat', 'kreatif', 'tunggu', 'buka', 'diklat', 'in', 'animasi', 'denpasar', 'makassar', 'simak', 'postingan', 'informasi', 'jadwal', 'daftar', 'diklat', 'langsung', 'website', 'bdi', 'denpasar', 'jumpa', 'denpasar', 'makassar', 'sobat', 'kreatif', 'diklatin', 'bdidenpasar', 'bdidenpasargoeswbbm',   'bersihmelayani', 'animasi']"
Inbis Tohpati,"['tohpati', 'talent', 'camp', 'kelas', 'smartphone', 'videography', 'masyarakat', 'suka', 'nikmat', 'konten', 'konten', 'informasi', 'visual', 'video', 'banyak', 'platform', 'platform', 'hibur', 'informasi', 'saji', 'konten', 'konten', 'video', 'tiktok', 'reels', 'youtube', 'igtv', 'gari', 'masyarakat', 'content', 'creator', 'lomba', 'lomba', 'video', 'tarik', 'balai', 'diklat', 'industri', 'denpasar', 'inkubasi', 'bisnis', 'tohpati', 'selenggara', 'tohpati', 'talent', 'camp', 'kelas', 'smartphone', 'videography', 'tanggal', 'agustus', 'giat', 'ikut', 'serta', 'kelas', 'serta', 'ajar', 'dasar', 'dasar', 'sinematografi', 'ajar', 'aplikasi', 'video', 'editing', 'edit', 'video', 'audio', 'aplikasi', 'master', 'smartphone', 'serta', 'ajak', 'short', 'video', '', 'self', 'branding', '', 'smartphone', 'latar', 'green', 'screen', 'bantu', 'perangkat', 'rekam', 'audio', 'sederhana', 'serta', 'ajak', 'edit', 'video', 'software', 'openshot', 'presentasi', 'produk', 'video', 'latih']"
Agenda,"['ui', 'user', 'interface', 'u', 'user', 'e', 'perience', 'hubung', 'tampil', 'aplikasi', 'website', 'mudah', 'guna', 'user', 'uiu', 'designer', 'desain', 'website', 'apps', 'platform', 'kembang', 'mudah', 'usermanusia', 'tampil', 'interface', 'suguh', 'kelas', 'serta', 'ajar', 'materi', 'uiu', 'design', 'thinking', 'persona', '', 'emphaty', 'map', 'define', 'and', 'ideation', 'serta', 'ajak', 'paham', 'ui', 'elements', 'and', 'atomic', 'design', 'system', 'heuristic', 'uiu', 'writing', 'giat', 'serta', 'ajak', 'tes', 'evaluasi', 'desain', 'rancang']"
Bikin Maker Space,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'selenggara', 'employee', 'innovation', 'challenge', 'untuk', 'gali', 'inovasi', 'inovasi', 'ide', 'ide', 'fresh', 'pegawai', 'juara', 'challenge', 'selamat', 'juara', 'employee', 'innovation', 'challenge', 'moga', 'pacu', 'semangat', 'cipta', 'inovasi', 'inovasi', 'ide', 'ide', 'maju', 'bdi', 'denpasar', 'depan']"
Diklat 3 in 1,"['diklat', 'buat', 'latar', 'animasi', 'dimensi', 'angkat', 'iii', 'on', 'site', 'semarang', 'creative', 'content', 'sobat', 'kreatif', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'semarang', 'creative', 'content', 'seccon', 'provinsi', 'jawa',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'februari', 'tempat', 'smk', 'muhammadiyah', 'semarang', 'kota', 'semarang', 'jawa', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'animasi', 'dimensi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Kabar Insan Oke ,"['selamat', 'raya', 'galungan', 'kuningan', 'moga', 'ida', 'sang', 'hyang', 'widhi', 'wasa', 'sejahtera', 'damai']"
Kabar Insan Oke ,"['bdi', 'denpasar', 'business', 'incubator',  'business', 'talk', 'tema', '', 'broaden',  'business', 'insight', 'in', 'tourism', 'industry', '', 'hadir', 'narasumber', '', 'putu', 'surya', 'sudarmadi', '', 'founder', 'ceo', 'guestpro', '', 'bagus', 'putu', 'wahyu', 'nirmala', '', 'co', '', 'founder', 'roamin', 'indonesia', 'giat', 'narasumber', 'sharing', 'knowledge', 'inspirasi', 'proses', 'bisnis', '', 'bisnis', 'akhir', 'giat', 'serta', 'bicara', 'giat', 'workshop', 'laksana', 'tanggal', 'jumat', 'februari', '', 'wita', 'live', 'on', 'zoom', 'meeting', 'jl', 'wr', 'supratman', 'no', 'tohpati', 'denpasar', 'bal', 'tunggu', 'ayo', 'gabung', 'daftar', 'link']"
Kabar Insan Oke ,"['selamat', 'serta', 'diklat', 'lolos', 'seleksi', 'serta', 'lolos', 'sedih', 'ikut']"
Kabar Insan Oke ,"['senin', 'balai', 'diklat', 'industri', 'denpasar', 'laksana', 'apel', 'rutin', 'senin', 'pagi', 'pimpin', 'kepala', 'bdi', 'denpasar', 'zya', 'labiba', 'apel', 'nyanyi', 'lagu', 'bangsa', 'indonesia', 'raya', 'lanjut', 'baca', 'pancasila', 'panca', 'prasetya', 'korps', 'pegawai', 'republik', 'indonesia', 'nilai', 'budaya', 'kerja', 'menteri', 'industri', 'apel', 'pagi', 'evaluasi', 'giat', 'laksana', 'minggu', 'koordinasi', 'giat', 'giat', 'laksana']"
Diklat 3 in 1,"['diklat', 'buat', 'gerak', 'animasi', 'dimensi', 'angkat', 'i', 'jitu', 'sobat', 'kreatif', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'pt', 'jitu', 'kreasi', 'utama', 'yogyakarta',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'maret', 'april', 'tempat', 'youth', 'center', 'yogyakarta', 'yogyakarta', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'sunting', 'film', 'animasi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Kabar Insan Oke ,"['sobat', 'kreatif', 'tunggu', 'buka', 'diklat', 'in', 'animasi', 'makassar', 'denpasar', 'simak', 'postingan', 'sobat', 'kreatif', 'tarik', 'join', 'daftar', 'link', 'mimin', 'cantumin', 'detail', 'syarat', 'syarat', 'daftar', 'diklat', 'sobat', 'minat', 'jumpa', 'makassar', 'denpasar', 'sobat', 'kreatif']"
Agenda,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'semarang', 'creative', 'content', 'seccon', 'provinsi', 'jawa',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'februari', 'tempat', 'smk', 'muhammadiyah', 'semarang', 'kota', 'semarang', 'jawa', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'animasi', 'dimensi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Bikin Maker Space,"['workshop', 'luk', 'media', 'kain', 'apparel', 'bdi', 'denpasar', 'selenggara', 'workshop', 'tema', 'luk', 'media', 'kain', 'apparel', 'rabu', '', 'jumat', '', 'november', 'workshop', 'tuju', 'bantu', 'masyarakat', 'milik', 'basic', 'luk', 'kembang', 'mampu', 'usaha', 'rajin', 'serta', 'giat', 'asal', 'duduk', 'domisili', 'bal', 'isi', 'instruktur', 'alam', 'i', 'made', 'darmika', 'instruktur', 'lukis', 'gede', 'bagus', 'ardhana', 'instruktur', 'fotografi']"
pengumuman,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'bulan', 'pilih', 'aparatur', 'hak', 'predikat', '', 'employee', 'of', 'the', 'month', '', 'kriteria', 'pilih', 'aspek', 'disiplin', 'patuh', 'tanggung', 'integritas', 'milik', 'aparatur', 'juli', 'predikat', '', 'employee', 'of', 'the', 'month', 'bdi', 'denpasar', 'juli', '', 'muhammad', 'iman', 'handoko', 'moga', 'motivasi', 'tingkat', 'hasil', 'karya', 'maju', 'bdi', 'denpasar', 'industri', 'animasi', 'indonesia']"
Kabar Insan Oke ,"['olahraga', 'nasional', 'kali', 'mari', 'apresiasi', 'besar', 'juang', 'harum', 'nama', 'bangsa', 'ajang', 'paralimpiade', 'paralympics', 'tokyo', 'gelar', 'helat', 'akbar', 'paralimpiade', 'tokyo', 'kali', 'indonesia', 'duduk', 'peringkat', 'hasil', 'bawa', 'pulang', 'medali', 'emas', 'medali', 'perak', 'medali', 'perunggu', 'prestasi', 'bangga', 'mana', 'paralimpiade', 'rio', 'de', 'janeiro', 'indonesia', 'peringkat', 'raih', 'medali', 'perunggu', 'selamat', 'menang', 'terimakasih', 'juang', 'kontingen', 'indonesia', 'laga', 'paralimpiade', 'tokyo']"
Diklat 3 in 1,"['open', 'recruitment', 'diklat', 'in', 'makassar', 'bdi', 'denpasar', 'sobat', 'kreatif', 'tunggu', 'buka', 'diklat', 'in', 'animasi', 'makassar', 'denpasar', 'simak', 'postingan', 'sobat', 'kreatif', 'tarik', 'join', 'daftar', 'link', 'mimin', 'cantumin', 'detail', 'syarat', 'syarat', 'daftar', 'diklat', 'sobat', 'minat', 'jumpa', 'makassar', 'denpasar', 'sobat', 'kreatif']"
Kabar Insan Oke ,"['indonesia', 'merdeka', 'juang', 'henti', 'mari', 'bahu', 'bahu', 'negeri', 'maju', 'sejahtera', 'bebas', 'pandemi', 'covid', 'dirgahayu', 'republik', 'indonesia', 'indonesia', 'tangguh', 'indonesia', 'tumbuh']"
Inbis Tohpati,"['organisasi', 'jalan', 'capai', 'tuju', 'dukung', 'manajemen', 'sesuai', 'manajemen', 'penting', 'organisasi', 'tugas', 'rencana', 'organisasi', 'laksana', 'awas', 'sumber', 'daya', 'milik', 'giat', 'hadir', 'jajar', 'manajemen', 'serta', 'pegawai', 'bdi', 'denpasar', 'harap', 'rtm', 'program', 'kerja', 'bdi', 'denpasar', 'jalan', 'sesuai', 'harap']"
Inbis Tohpati,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'inkubator', 'bisnis', 'tohpati', 'selenggara', 'talent', 'camp', 'kelas', 'game', 'developer', 'tanggal', 'sd', 'september', 'tempat', 'gedung', 'animasi', 'promosi', 'lantai', 'kelas', 'ikut', 'orang', 'serta', 'kelas', 'game', 'developer', 'serta', 'kenal', 'dasar', 'teori', 'game', 'design', 'game', 'industry', 'kenal', 'godot', 'game', 'engine', 'ajar', 'instalasi', 'software', 'kenal', 'user', 'interface', 'godot', 'dasar', 'scripting', 'gdscript', 'kelas', 'serta', 'presentasi', 'game', 'final', 'project', 'evaluasi', 'mentor', 'slab', 'games']"
Inbis Tohpati,"['senin', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'sempat', 'kunjung', 'menteri', 'pendayagunaan', 'aparatur', 'negara', 'reformasi', 'birokrasi', 'rangka', 'evaluasi', 'lapang', 'zona', 'integritas', 'bdi', 'denpasar', 'wilayah', 'bebas', 'korupsi', 'wbkwilayah', 'birokrasi', 'bersih', 'layan', 'wbbm', 'sempat', 'kepala', 'bdi', 'denpasar', 'zya', 'labiba', 'kenal', 'sarana', 'prasarana', 'dukung', 'giat', 'diklat', 'bdi', 'denpasar', 'fasilitas', 'inkubasi', 'bisnis', 'tohpati', 'tim', 'kemenpanrb', 'ajak', 'capai', 'capai', 'raih', 'layan', 'layan', 'bdi', 'denpasar', 'masyarakat']"
Agenda,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'baraka', 'creative', 'studio', 'provinsi', 'sumatera', 'barat',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'belas', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'januari', 'februari', 'tempat', 'universitas', 'negeri', 'padang', 'kota', 'padang', 'sumatera', 'barat', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'animasi', 'dimensi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Kabar Insan Oke ,"['bdi', 'denpasar', 'selenggara', 'workshop', 'implementasi', 'aspek', 'legal', 'start', 'up', 'ikut', 'alumni', 'tenant', 'inbistohpati', 'angkat', 'harap', 'ikut', 'workshop', 'tahu', 'kait', 'legalitas', 'badan', 'usaha', 'bantu', 'tenant', 'tentu', 'badan', 'usaha', 'cocok', 'sesuai', 'usaha', 'depan', 'legalitas', 'bentuk', 'badan', 'usaha', 'mudah', 'tenant', 'kembang', 'jenis', 'usaha']"
Teaching Factory,"['kunjung', 'dewan', 'komisaris', 'telkom', 'bdi', 'denpasar', 'sabtu', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'sempat', 'terima', 'kunjung', 'dewan', 'komisaris', 'pt', 'telkom', 'indonesia', 'kunjung', 'kali', 'dewan', 'komisaris', 'telkom', 'marcelino', 'pandin', 'serta', 'gm', 'witel', 'denpasar', 'serta', 'jajar', 'sambut', 'kepala', 'bdi', 'denpasar', 'zya', 'labiba', 'serta', 'tim', 'inkubasi', 'bisnis', 'tohpati', 'kunjung', 'laksana', 'rangka', 'tinjau', 'kembang', 'kerjasama', 'telkom', 'bdi', 'denpasar', 'indigospace', 'denpasar', 'harap', 'kunjung', 'sinergitas', 'bdi', 'denpasar', 'indigospace', 'denpasar', 'tingkat', 'depan']"
Kabar Insan Oke ,"['halo', 'sobat', 'kreatif', 'kabar', 'gembira', 'diklat', 'open', 'registrasi', 'tarik', 'ikut', 'daftar', 'dilink']"
Agenda,"['bdi', 'denpasar', 'business', 'incubator',  'business', 'talk', 'tema', '', 'e', 'plore', 'business', 'idea', 'insight', 'in', 'digital', 'health', 'industry', '', 'hadir', 'narasumber', '', 'nova', 'ariyanto', 'jono', '', 'co', 'founder', 'ceo', 'psikologi', '', 'made', 'dwi', 'putra', 'wijaya', '', 'koordinator', 'bdi', 'denpasar', 'business', 'incubator', 'giat', 'narasumber', 'sharing', 'knowledge', 'inspirasi', 'proses', 'bisnis', '', 'bisnis', 'akhir', 'giat', 'serta', 'bicara', 'giat', 'workshop', 'laksana', 'tanggal', 'jumat', 'februari', '', 'wita', 'live', 'on', 'zoom', 'meeting', 'tunggu', 'ayo', 'gabung', 'daftar', 'link']"
pengumuman,"['sobat', 'kreatif', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'baraka', 'creative', 'studio', 'sumatera', 'barat',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'sembilan', 'belas', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'februari', 'tempat', 'universitas', 'negeri', 'padang', 'unp', 'kota', 'padang', 'sumatera', 'barat', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob']"
Inbis Tohpati,"['tohpati', 'talent', 'camp', 'umum', 'serta', 'kelas', 'uiu', 'design', 'selamat', 'serta', 'pilih', 'tohpati', 'talent', 'camp', 'kelas', 'uiu', 'design', 'lolos', 'kecil', 'hati']"
Diklat 3 in 1,"['diklat', 'buat', 'gerak', 'animasi', 'dimensi', 'angkat', 'ii', 'inidia', 'studio', 'bal', 'sobat', 'kreatif', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'inidia', 'studio', 'bal',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'januari', 'februari', 'tempat', 'balai', 'diklat', 'industri', 'denpasar', 'bal', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'animasi', 'dimensi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Diklat 3 in 1,"['diklat', 'sunting', 'film', 'animasi', 'editor', 'angkat', 'ii', 'spektrumedia', 'studio', 'sobat', 'kreatif', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'pt', 'spektrumedia', 'animation', 'studio',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'maret', 'april', 'tempat', 'balai', 'diklat', 'industri', 'denpasar', 'provinsi', 'bal', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'sunting', 'film', 'animasi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
pengumuman,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'pt', 'kastil', 'avindo', 'castle', 'production', 'studio', 'jakarta',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'januari', 'februari', 'tempat', 'gedung', 'cmc', 'cyber', 'media', 'center', 'kelapa', 'gading', 'jakarta', 'utara', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'animasi', 'dimensi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Kabar Insan Oke ,"['suka', 'duka', 'lalu', 'jalan', 'bentuk', 'syukur', 'kuat', 'doa', 'harap', 'panjat', 'rapat', 'selamat', 'tahunbaru', 'jaga', 'sehat', 'semangat', 'isi', 'lembar', 'lembar', 'sobat', 'kreatif']"
